,Unnamed: 0,UNITID,INSTNM,CITY,STABBR,REGION,LATITUDE,LONGITUDE,PREDDEG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,ADM_RATE,SAT_AVG,ACTCMMID,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
0,1,100663,UNIVERSITYOFALABAMAATBIRMINGHAM,Birmingham,AL,5,33.50223,-86.80917,3,22232.0,,7766.0,17654.0,,0.5462,0.5536,0.4721,0.5946,0.7722,0.5,1.0,0.7222,0.6875,0.4146,0.6043,1147.0,25.0,University of Alabama at Birmingham (UAB),State,"$39,200.00","$70,100.00","$43,000.00","$53,400.00","$91,400.00","$125,000.00"
1,9,100858,AUBURNUNIVERSITY,Auburn,AL,5,32.604685,-85.482782,3,29164.0,,10424.0,28040.0,,0.7292,0.7464,0.5597,0.6842,0.6905,0.6552,,,0.6471,0.7091,0.7766,1218.0,27.0,Auburn University,State,"$45,400.00","$84,700.00","$45,400.00","$62,700.00","$109,000.00","$145,000.00"
2,60,102553,UNIVERSITYOFALASKAANCHORAGE,Anchorage,AK,8,61.189554,-149.82613500000005,3,14476.0,,5545.0,17177.0,,0.2408,0.2752,0.1951,0.2796,0.2222,0.1128,0.1765,0.2697,0.3333,0.1875,0.706,,,"University of Alaska, Anchorage",State,"$45,900.00","$72,600.00","$39,800.00","$56,600.00","$99,300.00","$137,000.00"
3,81,104179,UNIVERSITYOFARIZONA,Tucson,AZ,6,32.232071000000005,-110.950769,3,23996.0,,11403.0,32630.0,,0.6085,0.6206,0.4681,0.561,0.6854,0.4364,0.2,0.5761,0.7814,0.451,0.7643,,,University of Arizona,State,"$47,500.00","$86,100.00","$44,800.00","$61,700.00","$117,000.00","$160,000.00"
4,134,106397,UNIVERSITYOFARKANSAS,Fayetteville,AR,5,36.06153,-94.178214,3,21288.0,,8522.0,21826.0,,0.6249,0.6384,0.4964,0.5877,0.5946,0.5,0.5,0.4348,0.7708,0.6,0.6006,1154.0,26.0,University of Arkansas,State,"$44,100.00","$82,800.00","$43,200.00","$60,700.00","$113,000.00","$160,000.00"
5,223,110404,CALIFORNIAINSTITUTEOFTECHNOLOGY,Pasadena,CA,8,34.139275,-118.12574,3,60990.0,,45390.0,45390.0,,0.9084,0.8696,0.5,0.8148,0.9889,,1.0,,0.9118,1.0,0.0881,1544.0,35.0,California Institute of Technology (CIT),Engineering,"$75,500.00","$123,000.00",,"$104,000.00","$161,000.00",
6,228,110495,CALIFORNIASTATEUNIVERSITYSTANISLAUS,Turlock,CA,8,37.52577,-120.852511,3,16594.0,,6704.0,17864.0,,0.5489,0.6124,0.5417,0.5205,0.4267,,0.3333,,0.8889,0.5517,0.7063,,,"California State University (CSU), Stanislaus",State,"$38,000.00","$71,400.00","$33,700.00","$50,500.00","$94,100.00","$121,000.00"
7,231,110538,CALIFORNIASTATEUNIVERSITYCHICO,Chico,CA,8,39.728003,-121.846333,3,21756.0,,7022.0,18182.0,,0.637,0.6694,0.3958,0.5857,0.5877,0.5455,0.3333,,0.7358,0.6022,0.6345,1003.0,22.0,"California State University (CSU), Chico",State,"$47,400.00","$88,100.00","$46,800.00","$62,800.00","$122,000.00","$154,000.00"
8,232,110547,CALIFORNIASTATEUNIVERSITYDOMINGUEZHILLS,Carson,CA,8,33.86524,-118.259316,3,13349.0,,6213.0,17373.0,,0.3471,0.4412,0.2868,0.3712,0.4848,0.0,0.375,,0.2813,0.2899,0.5277,,,"California State University, Dominguez Hills (CSUDH)",State,"$42,700.00","$72,100.00","$30,800.00","$47,000.00","$92,200.00","$132,000.00"
9,234,110565,CALIFORNIASTATEUNIVERSITYFULLERTON,Fullerton,CA,8,33.883627000000004,-117.885349,3,16337.0,,6437.0,17597.0,,0.6192,0.6644,0.4587,0.5754,0.6729999999999999,0.5,0.6923,,0.6456,0.5770000000000001,0.4186,1024.0,22.0,"California State University, Fullerton (CSUF)",State,"$45,700.00","$87,000.00","$45,400.00","$62,500.00","$119,000.00","$158,000.00"
